Id,Label,timeset,0,indegree,outdegree,Degree,clustering,eigencentrality,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
Mathematical Logic,Mathematical Logic,,0,34,113,147,0.323347,0.11681,2,2,0.578801,0.636145,0.007499
Mathematical Physics,Mathematical Physics,,0,64,54,118,0.416216,0.182664,0,2,0.534794,0.56506,0.003883
Mathematical Statistics,Mathematical Statistics,,0,34,22,56,0.504878,0.109828,0,2,0.513614,0.526506,0.000237
Mechanical Engineering,Mechanical Engineering,,0,48,41,89,0.393497,0.139812,0,3,0.504253,0.535743,0.001355
Mechanics,Mechanics,,0,36,32,68,0.520266,0.085017,0,3,0.457552,0.494779,0.000538
Medicine,Medicine,,0,48,41,89,0.342857,0.106729,4,3,0.445279,0.491968,0.003697
Metamodeling,Metamodeling,,0,69,78,147,0.825633,0.551225,5,2,0.551862,0.593976,0.000102
Meteorology,Meteorology,,0,43,19,62,0.48682,0.09988,0,4,0.364675,0.397189,0.000352
Michael A. Jackson,Michael A. Jackson,,0,69,83,152,0.743365,0.545245,5,2,0.555556,0.6,0.000167
Microarchitecture,Microarchitecture,,0,2,13,15,0.478022,0.019601,2,3,0.387127,0.413253,0.000001
Microbiology,Microbiology,,0,47,32,79,0.556391,0.108542,4,3,0.426516,0.468273,0.00018
Middleware,Middleware,,0,59,89,148,0.454218,0.305212,2,2,0.560054,0.607229,0.00048
Military Engineering,Military Engineering,,0,35,28,63,0.511563,0.10262,0,3,0.46317,0.495984,0.000291
Military Science,Military Science,,0,19,16,35,0.523185,0.047507,0,3,0.420892,0.450201,0.00006
Mineralogy,Mineralogy,,0,31,21,52,0.530488,0.068608,0,3,0.394487,0.427711,0.000197
Mining Engineering,Mining Engineering,,0,33,38,71,0.44026,0.09703,0,3,0.501814,0.531727,0.00049
Modeling Language,Modeling Language,,0,115,0,115,0.524104,0.737819,5,0,0,0,0
Modern Physics,Modern Physics,,0,45,34,79,0.563973,0.117781,0,3,0.464206,0.501606,0.00024
Molecular Biology,Molecular Biology,,0,57,36,93,0.445952,0.141894,4,3,0.429162,0.473896,0.000705
Mozilla Foundation,Mozilla Foundation,,0,4,4,8,0.339286,0.028218,1,4,0.320711,0.333735,0.000004
Multiprocessing,Multiprocessing,,0,63,13,76,0.556053,0.319294,2,3,0.407662,0.43494,0.000459
Nancy Leveson,Nancy Leveson,,0,69,80,149,0.781957,0.545689,5,2,0.553333,0.596386,0.000246
Nanobiology,Nanobiology,,0,18,41,59,0.547727,0.045027,4,3,0.472665,0.513655,0.000122
Natural Language Processing,Natural Language Processing,,0,63,14,77,0.51741,0.306948,2,2,0.508578,0.516867,0.000517
Natural Science,Natural Science,,0,23,52,75,0.320201,0.068434,0,3,0.440552,0.496787,0.000882
Neolithic Revolution,Neolithic Revolution,,0,7,10,17,0.313187,0.019856,3,3,0.353794,0.370281,0.000184
Network Architecture,Network Architecture,,0,57,88,145,0.456677,0.28982,2,2,0.559299,0.606024,0.000033
Network Performance,Network Performance,,0,56,86,142,0.475562,0.289202,2,2,0.557796,0.603614,0.000037
Network Science,Network Science,,0,20,8,28,0.671667,0.051625,0,3,0.44385,0.464257,0.000044
Network Security,Network Security,,0,59,7,66,0.667514,0.302987,2,3,0.371864,0.390763,0.000007
Neural Engineering,Neural Engineering,,0,21,26,47,0.560976,0.047784,0,3,0.460599,0.492369,0.000701
Neurophysiology,Neurophysiology,,0,4,9,13,0.322222,0.020444,4,3,0.365639,0.384739,0.000016
Neuroscience,Neuroscience,,0,58,44,102,0.41318,0.130725,4,3,0.462653,0.508434,0.002155
Niklaus Wirth,Niklaus Wirth,,0,77,90,167,0.616409,0.574334,5,2,0.560811,0.608434,0.000886
Nuclear Chemistry,Nuclear Chemistry,,0,35,24,59,0.566445,0.08098,0,3,0.415,0.451004,0.000253
Nuclear Engineering,Nuclear Engineering,,0,38,27,65,0.488095,0.110139,0,3,0.459579,0.492369,0.000488
Nuclear Physics,Nuclear Physics,,0,50,35,85,0.492896,0.125426,0,3,0.456044,0.495984,0.000659
Numerical Analysis,Numerical Analysis,,0,79,125,204,0.305387,0.370523,2,2,0.588652,0.650602,0.008074
Nursing,Nursing,,0,22,11,33,0.566532,0.052815,0,3,0.370867,0.392771,0.000068
Object-Oriented Programming,Object-Oriented Programming,,0,79,95,174,0.556825,0.588072,5,2,0.564626,0.614458,0.00318
Object Model,Object Model,,0,71,80,151,0.747339,0.553306,5,2,0.553333,0.596386,0.000497
Oceanography,Oceanography,,0,40,31,71,0.476998,0.08661,0,3,0.417085,0.458635,0.00055
Operating System,Operating System,,0,84,108,192,0.343965,0.416856,2,2,0.574792,0.63012,0.004019
Operations Research,Operations Research,,0,98,43,141,0.336207,0.438886,2,2,0.527319,0.551807,0.00367
Organic Chemistry,Organic Chemistry,,0,48,28,76,0.482456,0.110966,0,3,0.452563,0.48755,0.001889
Paleoclimatology,Paleoclimatology,,0,38,24,62,0.565338,0.083669,0,3,0.406464,0.44257,0.0003
Paleoecology,Paleoecology,,0,21,10,31,0.664021,0.04956,0,3,0.369875,0.390763,0.000018
Paleontology,Paleontology,,0,60,52,112,0.417297,0.131368,4,3,0.468397,0.519277,0.002791
Palynology,Palynology,,0,23,12,35,0.654762,0.05285,0,3,0.402913,0.429317,0.000104
Parallel Computing,Parallel Computing,,0,74,25,99,0.458597,0.364566,2,3,0.434555,0.469076,0.000941
Parasitology,Parasitology,,0,43,14,57,0.674838,0.103628,4,3,0.397129,0.4249,0.00006
Particle Physics,Particle Physics,,0,47,35,82,0.518831,0.120894,0,3,0.466292,0.504016,0.000869
Pattern Recognition,Pattern Recognition,,0,12,15,27,0.344203,0.055306,1,3,0.447198,0.472691,0.000111
Pedagogy,Pedagogy,,0,20,9,29,0.547009,0.047817,0,4,0.323461,0.342972,0.000041
Peri Tarr,Peri Tarr,,0,67,80,147,0.797802,0.536111,5,2,0.553333,0.596386,0.000215
Peripheral,Peripheral,,0,62,89,151,0.436947,0.30898,2,2,0.560054,0.607229,0.001457
Peter Chen,Peter Chen,,0,68,80,148,0.800813,0.543521,5,2,0.553333,0.596386,0.000034
Peter Naur,Peter Naur,,0,10,18,28,0.473684,0.059995,1,2,0.511084,0.521687,0.000067
Pharmacy,Pharmacy,,0,36,43,79,0.398105,0.0847,0,3,0.44196,0.490763,0.001231
Photochemistry,Photochemistry,,0,33,21,54,0.61471,0.075774,0,3,0.401354,0.43494,0.000014
Physical Chemistry,Physical Chemistry,,0,64,24,88,0.483163,0.158454,0,3,0.414585,0.450602,0.000871
Physical Geography,Physical Geography,,0,37,33,70,0.480496,0.080454,0,3,0.422177,0.46506,0.000995
Physics,Physics,,0,99,68,167,0.236095,0.275642,0,3,0.495227,0.551406,0.012273
Physiology,Physiology,,0,57,38,95,0.42173,0.132445,4,3,0.4341,0.47992,0.001361
Planetary Science,Planetary Science,,0,27,21,48,0.514744,0.064621,0,3,0.408063,0.441767,0.000355
Political Science,Political Science,,0,45,33,78,0.51153,0.100409,3,3,0.461624,0.498795,0.000765
Printed Circuit Board,Printed Circuit Board,,0,59,9,68,0.575758,0.299201,2,3,0.372531,0.393173,0.000039
Probability,Probability,,0,70,22,92,0.41724,0.325898,2,2,0.513614,0.526506,0.002639
Process Control,Process Control,,0,61,4,65,0.598822,0.304551,2,3,0.354701,0.366667,0.000198
